teknik,kesehatan,ekonomi,hukum,title
1,0,0,0,state evaluation technology distribution network cables based internal conductor temperature measurement 
1,0,0,0,adaptive control gridconnected inverter microgrid based lyapunov function 
1,0,0,0,entropy generation analysis triple diffusive flow past horizontal plate porous medium
1,0,0,0,determination mass transfer coefficients highpressure twophase flows capillaries using raman spectroscopy
1,0,0,0,on model internal waves rotating fluids
1,0,0,0,interest implementation construction certification law indonesia
1,0,0,0,ensuring safe working conditions operation foundry equipment
1,0,0,0,legal institution mapping information system dki jakarta
1,0,0,0,food technologies environmental impact
1,0,0,0,analysis important factors choosing using process alternative dispute resolution construction project contractors perspective case study xyz company ltds
1,0,0,0,regularities deformation bending elastic elements parameters vibrations dynamic tillage operating part
1,0,0,0,the use artificial intelligence criminal law criminal procedure systems
1,0,0,0,evaluation ecological extremes vehicles road emission tests
1,0,0,0,suggestions establishment traffic legal regulation driverless delivery vehicle
1,0,0,0,discussion attribution accident responsibility autonomous vehicles
1,0,0,0,transient thermal analysis passive aircooled batterypack various casing material
1,0,0,0,research traffic laws regulatory framework autonomous driving
1,0,0,0,construction traffic law regulation framework automated driving
1,0,0,0,study characteristics inverse square law application geigermiller detector detection milk purity samawa city
1,0,0,0,development mechanism proposal chinas automated vehicles commercialization referring korea related law
1,0,0,0,simulation research temperature field water cooling roller hydrophilic coated aluminium foil 
1,0,0,0,research recoil technology electromagnetic rail launcher 
1,0,0,0,study matching law mechanism flocculating material sludge organic matter content 
1,0,0,0,absorption toluene using deep eutectic solvents quantum chemical calculations experimental investigation
1,0,0,0,on scaling law phase drift coupled nonlinear oscillators precision timing
1,0,0,0,compliant control reconfiguration combination body micronano satellites constraint magnetic hinge 
1,0,0,0,fuel optimization large angle attitude maneuver control spacecraft 
1,0,0,0,nonnewtonian fluid pipeline flow equation approximate solution 
1,0,0,0,design method adaptive robust sliding mode integrated guidance control multiple constraints 
1,0,0,0,experimental study cavitation evolution highspeed projectile water entry parallel 
1,0,0,0,adaptive neural network trajectory tracking control underactuated unmanned surface vehicle usv
1,0,0,0,fast smooth adaptive secondorder sliding mode control hypersonic vehicles 
1,0,0,0,the role fibermatrix interfacial properties tensile behavior frcm coupons
1,0,0,0,probabilistic impacts corrosion structural failure performance limits reinforced concrete beams
1,0,0,0,application random matrix model multiple abnormal sources detection location based pmu monitoring data distribution network
1,0,0,0,design hil implementation new robust fractional sliding mode control microgrids
1,0,0,0,setting problem airborne sound insulation calculation double layer massive enclosures base models concentrated parameters
1,0,0,0,research evolution coarsegrained soil permutation distribution based mc model mc
1,0,0,0,research status prospect fault diagnosis chinas coal mine machines background intelligent mine 
1,0,0,0,a homogenization transformation method free vibration response functionally graded cylindrical shells based flügge theory flügge
1,0,0,0,a study propagation law pendulumtype wave blockrock mass considering bimodulus characteristics 
1,0,0,0,an inverted cone horn large amplitude amplification factor 
1,0,0,0,analysis impact effect box girder bridges corrugated steel webs considering influence lateral bracings 
1,0,0,0,slaughtering system design halal beef supply chain using value chain analysis
1,0,0,0,warranty cost analysis multicomponent product protected lemon laws
1,0,0,0,effects different fertilization nutrient growth lettuce models simulation 
